题目	答案
写出以下程序的运行结果：#include <iostream >using namespace std;void f();class T{public:T(){cout<<"constrictor"<<endl;try{throw "exception";}catch(char *){cout<<"exception"<<endl;}throw "exception";}~T(){cout<<"destructor";}};void main(){cout<<"main function"<<endl;try{f();}catch(char *){cout<<"exception2"<<endl;}cout<<"main function"<<endl;}void f(){T t;}	(1) main functionconstrictorexceptionexception2main function
Staff类含有int型数据成员ID，两个Staff对象相等是指它们的ID相同。下面的函数重载了运算符==，它用来判断两个Staff对象是否相等，相等时返回true，否则返回false。请将横线处缺失部分补充完整。 bool Staff::operator==(const Staff&s) { ________________ ;  return ( ); }	(1) ID==s.ID
写出程序运行结果:____________#include <iostream.h>class B{public:B( ){cout<<"CONS_B"<<endl;}};class V: public B{public:~V( ){cout<<"DES_V"<<endl;}};class X: virtual public V{public:X( ){cout<<"CONS_X"<<endl;}~X( ){cout<<"DES_X"<<endl;}};class Y: virtual public V{public:Y( ){cout<<"CONS_Y"<<endl;}};class W : public Y, public X//继承顺序不同 调用构造函数的顺序就不同{public:~W( ){cout<<"DES_W"<<endl;}};class Z : public W{public:~Z( ){cout<<"DES_Z"<<endl;}};void main(){Z obj;}	(1) CONS_BCONS_YCONS_XDES_ZDES_WDES_XDES_V
写出程序运行结果:_________#include <iostream>using namespace std;class T{public :T(){a = 0;b = 0;c = 0;}T( int i, int j, int k ){a = i;b =j;c = k;}void get( int &i, int &j, int &k ){i = a;j = b;k = c;}T operator* ( T obj );private:int a , b , c;};T T::operator* ( T obj ){T tempobj;tempobj.a = a * obj.a;tempobj.b = b * obj.b;tempobj.c = c * obj.c;return tempobj;}int main(){T obj1( 1,2,3 ), obj2( 5,5,5 ), obj3;int a , b , c;obj3 = obj1 * obj2;obj3.get( a, b, c );cout<<"( obj1*obj2 ):"<<"a = "<<a<<'\t'<<"b = "<<b<<'\t'<<"c = "<<c<<'\t'<<endl;(obj2*obj3).get( a, b, c );cout<<"( obj2*obj3 ):"<<"a = "<<a<<'\t'<<"b = "<<b<<'\t'<<"c = "<<c<<'\t'<<endl;}	(1) ( obj1*obj2 ):a = 5     b = 10  c = 15( obj2*obj3 ):a = 25    b = 50  c = 75
重载加法运算符"+"，其函数名是______。	(1) operator +
写出程序运行结果:_________#include<iostream>#include<cmath>using namespace std;class Fun{//被积函数,抽象类public:virtual double fun(double x)=0;//被积函数声明为纯虚函数};class Integer{//积分函数，抽象类protected:double result,a,b,step;//Intevalue积分值，a积分下限，b积分上限int n;public:virtual void Integrate()=0;Integer(double ra=0,double rb=0,int nn=2000){a=ra;b=rb;n=nn;step=(b-a)/n;result=0;}void Print(){cout.precision(3);cout<<"积分值="<<result<<endl;}};class SIN_Rect:public Integer,public Fun{//求sin积分，采用矩形积分法public:SIN_Rect(double ra,double rb,int nn):Integer(ra,rb,nn){}double fun(double x){return sin(x);}void Integrate(){int i;for(i=0;i<=n;i++) result+=fun(a+step*i);result*=step;}};class EXP_Simpson:public Integer,public Fun{//求exp积分，采用Simpson积分法public:EXP_Simpson(double ra,double rb,int nn):Integer(ra,rb,nn){}double fun(double x){return sin(x);}void Integrate(){int i;result=fun(a)+fun(b);for(i=1;i<n;i+=2) result+=4*fun(a+step*i);for(i=2;i<n;i+=2) result+=2*fun(a+step*i);result*=step/3;}};int main(){Integer *Inp;SIN_Rect s_r(0,3.1415926,1000);EXP_Simpson e_s(0,1,1000);Inp=&s_r;Inp->Integrate();Inp->Print();Inp=&e_s;Inp->Integrate();Inp->Print();return 0;}	(1) 积分值=2积分值=0.46
写出下列程序的执行结果是：__________________。#include <iostream>using namespace std;class Bclass{public:Bclass( int i, int j ) { x = i; y = j; }virtual int fun() { return 0 ; }protected:int x, y ;};class Iclass:public Bclass{public :Iclass(int i, int j, int k):Bclass(i, j) { z = k; }int fun() { return ( x + y + z ) / 3; }private :int z ;};void main(){Iclass obj( 2, 4, 10 );Bclass p1 = obj;cout << p1.fun() <<",";Bclass &p2 = obj ;cout << p2.fun() <<",";cout << p2.Bclass :: fun() <<",";Bclass *p3 = &obj;cout << p3 -> fun() << endl;}	(1) 0,5,0,5
静态联编所支持的多态性称为___________的多态性。	(1) 编译时
下面是复数类complex的定义，其中重载的运算符"+"的功能是返回一个新的复数对象，其实部等于两个操作对象实部之和，其虚部等于两个操作对象虚部之和；请补充完整：class complex{double real ; //实部double imag ; //虚部public :complex(double r ,double i):real(r),imag(i){}complex operator+(complex a ){return complex( ______ );}};	(1) real+a.real,imag+a.imag
写出下列程序的执行结果是：__________________。#include <iostream.h>class Vector{public:Vector(){ }Vector(int i,int j){ x = i ; y = j ;}friend Vector operator+ ( Vector v1, Vector v2 ){Vector tempVector ;tempVector.x = v1.x + v2.x ;tempVector.y = v1.y + v2.y ;return  tempVector ;}void display(){ cout << "(" << x << "," <<y<< ")"<< endl ; }private:int x , y ;};void main(){Vector v1( 1, 2 ), v2( 3, 4 ), v3 ;v3 = v1 + v2 ;v3.display() ;}	(1) (4,6)
程序运行结果_________.#include<iostream.h>class A{int a,b;public:A(int i, int j){a=i;b=j;}void  Move(int x, int y){a+=x;b+=y;}void  Show( ){cout<<"("<<a<<","<<b<<")"<<endl;}};class B : public  A{int x, y;public:B(int i, int j, int k, int l) : A(i, j){x=k;y=l;}};void main( ){A  a(1, 2);B  b(3, 4, 5, 6);b.Move(7, 8);b.Show( );}	(1) (10,12)
在下划线处填上缺少的部分。#include<iostream>#include<fstream>using namespace std；class complex{public：int real；int imag；complex(int r=0，int i=0){real=r；imag=i；}}；complex operator+( ________________________，complex& b){int r=a.real+b.real；int i=a.imag+b.imag；return  complex(r,i)；}void main( ){complex x(1，2)，y(3，4)，z；z=x+y；cout<<z.real<<″+″<<z.imag<<″i″<<endl；}	(1) complex&a
下列程序的输出结果是______。#include<iostream>using namespace std;class base{public:int n;base(int x) { n=x;}virtual void set(int m) { n=m;cout<<n<<' ';}};class deriveA:public base{public:deriveA(int x):base(x){ }void set(int m){ n+=m;cout<<n<<' ';}};class deriveB:public base{public:deriveB(int x):base(x){ }void set(int m) { n+=m;cout<<n<<' ';}};int main(){deriveA d1(1);deriveB d2(3);base *pbase;pbase=&d1;pbase->set(1);pbase=&d2;pbase->set(2);return 0;}	(1) 2 5
写出程序运行结果:_________#include <iostream.h>class A{protected:int ia;public:A(int j){ia=j;cout<<"A"<<ia<<endl;}};class B: public A{protected:int ib;public:B(int j, int k) : A(k){ib=j;cout<<"B"<<ib<<endl;}};class M{protected:int im;public:    M(int j){im=j;cout<<"M"<<im<<endl;}};class C: B{protected:int  ic;M  objm;public:C(int j, int k, int m, int n) : B(k, n),objm(m){ic=j;cout<<"C"<<ic<<endl;}};void main ( ){C    objc(1, 2, 3, 4);}	(1) A4B2M3C1
写出程序运行结果:_________#include<iostream.h>const float PI = 3.14;class Base{public:virtual void area(){cout<<"Base 中无实在面积输出！"<<endl;}};class Triangle:public Base{public:Triangle(float w,float h){width = w;height = h;}void area(){cout<<"三角形的底为:"<<width<<endl<<"高为:"<<height<<endl<<"面积为:"<<width*height/2<<endl;}private:float width,height;};class Circle:public Base{public:Circle(float r){radius = r;}void area(){cout<<"圆形的半径为:"<<radius<<endl<<"面积为:"<<PI*radius*radius<<endl;}private:float radius;};int main(){Base * p;Triangle obj1(2.0,3.0); Circle obj2(1.0);p= &obj1; p->area(); p=&obj2;p->area(); return 0;}	(1) 三角形的底为:2高为:3面积为:3圆形的半径为:1面积为:3.14
C++语言中的多态性分为编译时的多态性和______时的多态性。	(1) 运行
写出下列程序的执行结果是：__________________。#include <iostream>using namespace std;class T{public :T() { a = 0; b = 0; c = 0; }T( int i, int j, int k ){ a = i; b =j; c = k; }void get( int &i, int &j, int &k ){ i = a; j = b; k = c; }T operator* ( T obj );private:int a , b , c;};T T::operator* ( T obj ){T tempobj;tempobj.a = a * obj.a;tempobj.b = b * obj.b;tempobj.c = c * obj.c;return tempobj;}void main(){T obj1( 1,2,3 ), obj2( 5,5,5 ), obj3;int a , b , c;obj3 = obj1 * obj2;obj3.get( a, b, c );cout<<"(obj1*obj2):"<<"a="<<a<<","<<"b="<<b<<","<<"c="<<c<<endl;}	(1) (obj1*obj2):a=5,b=10,c=15
写出程序运行结果:_________#include<iostream>#include<string>using namespace std;class Vehicle{public:virtual void showinfo()=0;protected:char Name[20];};class Car:public Vehicle{public:Car(char *name){strcpy(Name,name);}void showinfo(){cout<<Name<<endl;}protected:int Radius;};class Truck:public Vehicle{public:Truck(char *name){strcpy(Name,name);}void showinfo(){cout<<Name<<endl;}};class Boat:public Vehicle{public:Boat(char *name){strcpy(Name,name);}void showinfo(){cout<<Name<<endl;}};int main(){Vehicle *vp;Car car("奔驰");Truck truck("运输卡车");Boat boat("游艇");vp=&car;vp->showinfo();vp=&truck;vp->showinfo();vp=&boat;vp->showinfo();return 0;}	(1) 奔驰运输卡车游艇
在MyClass类的定义中，对赋值运算符=进行重载。请将画线处缺失的部分补充完整。______ MyClass::operator=(const MyClass& rhs){if(this==&rhs) return *this;value=rhs.value;return *this;}	(1) MyClass&
写出程序运行结果:_________#include<iostream>using namespace std;class A{public:virtual void func( ){cout<<"func in class A"<<endl;}};class B{public:virtual void func( ){cout<<"func in class B"<<endl;}};class C:public A,public B{public:void func( ){cout<<"func in class C"<<endl;}};int main( ){C c;A& pa=c;B& pb=c;C& pc=c;pa.func( );pb.func( );pc.func( );}	(1) func in class Cfunc in class Cfunc in class C
写出程序运行结果:_________#include <iostream>using namespace std;class Real{private:double a;public:Real (double r=0){a=r;}Real operator +(Real);Real operator -(Real);Real operator *(Real);Real operator /(Real);Real operator =(Real);void display(){cout<<a<<endl;}};Real Real::operator+(Real x){Real temp;if(a+x.a<-1.7e308||a+x.a>1.7e308){cout<<"Data overflow!"<<endl;abort();}temp.a=a+x.a;return temp;}Real Real::operator-(Real x){Real temp;if(a-x.a<-1.7e308||a-x.a>1.7e308){cout<<"Data overflow!"<<endl;abort();}temp.a=a-x.a;return temp;}Real Real::operator*(Real x){Real temp;if(a*x.a<-1.7e308||a*x.a>1.7e308){cout<<"Data overflow!"<<endl;abort();}temp.a=a*x.a;return temp;}Real  Real::operator/(Real x){Real temp;if(a/x.a<-1.7e308||a/x.a>1.7e308){cout<<"Data overflow!"<<endl;abort();}temp.a=a/x.a;return temp;}Real Real::operator=(Real x){a=x.a;return *this;}int main(){Real A(1.1),B(1.2),C;cout<<"A=";A.display();cout<<"B=";B.display();C=A+B;cout<<"C=A+B="; C.display();C=A-B;cout<<"C=A-B="; C.display();C=A*B;cout<<"C=A*B="; C.display();C=A/B;cout<<"C=A/B="; C.display();}	(1) A=90B=30C=A+B=120C=A-B=60C=A*B=2700C=A/B=3
下列程序的输出结果为2，请将程序补充完整。#include <iostream>using namespace std;class Base{public:______ void fun(){cout<<1;}};class Derived:public Base{public:void fun(){cout<<2;}};int main(){Base *p=new Derived;p->fun();delete p;return 0;}	(1) virtual
写出程序运行结果:_________#include <iostream>using namespace std;class Integer{private:short a;public:Integer (short n=0){a=n;}Integer operator +(Integer);Integer operator -(Integer);Integer operator *(Integer);Integer  operator /(Integer);Integer operator =(Integer);void display(){ cout<<a<<endl; }};Integer Integer::operator+(Integer x){Integer temp;if(a+x.a<-32768||a+x.a>32767){cout<<"Data overflow!"<<endl;abort();}temp.a=a+x.a;return temp;}Integer Integer::operator-(Integer x){Integer temp;if(a-x.a<-32768||a-x.a>32767){cout<<"Data overflow!"<<endl;abort();}temp.a=a-x.a;return temp;}Integer Integer::operator*(Integer x){Integer temp;if(a*x.a<-32768||a*x.a>32767){cout<<"Data overflow!"<<endl;abort();}temp.a=a*x.a;return temp;}Integer  Integer::operator/(Integer x){Integer temp;if(a/x.a<-32768||a/x.a>32767){cout<<"Data overflow!"<<endl;abort();}temp.a=a/x.a;return temp;}Integer Integer::operator=(Integer x){a=x.a;return *this;}int main(){Integer A(90),B(30),C;cout<<"A=";A.display();cout<<"B=";B.display();C=A+B;cout<<"C=A+B="; C.display();C=A-B;cout<<"C=A-B="; C.display();C=A*B;cout<<"C=A*B="; C.display();C=A/B;cout<<"C=A/B="; C.display();}	(1) A=90B=30C=A+B=120C=A-B=60C=A*B=2700C=A/B=3
写出程序运行结果:_________#include<iostream>using namespace std;class A{public:virtual ~A( ){cout<<"A::~A( )called "<<endl;}};class B:public A{char *buf;public:B(int i){buf=new char[i];}virtual ~B( ){delete []buf;cout<<"B::~B( )called"<<endl;}};void fun(A *a){delete a;}int main( ){A *a=new B(10);fun(a);return 0;}	(1) B::~B( )calledA::~A( )called
运算符[ ]只能用__________运算符来重载，不能用友元运算符来重载。	(1) 成员
多数运算符既能作为类的成员函数重载，也能作为类的非成员函数重载，但[]运算符只能作为类的______函数重载。	(1) 成员
写出程序运行结果:_______#include <iostream.h>class A{int a;public:void f( int a ){cout<< a << endl;}void g( ){cout<< "g( )" << endl;}};class B: public A{public:void h( ){cout<< "h( )" << endl;}};void main( ){B    objb;objb.f(5);objb.g( );objb.h( );}	(1) 5g( )h( )
写出下列程序的执行结果是：__________________。#include <iostream>#include<cstring>using namespace std;class s{public:s(){ *str = '\0'; }s( char *pstr ){strcpy( str,pstr );}char *gets(){return str;}s operator+( s obj );private:char str[10];};s s::operator+( s obj ){strcat( str,obj.str );return str;     //或return *this}void main(){s obj1( "Visual"),obj2("C++"),obj3;obj3 = obj1 + obj2;cout << obj3.gets() << endl;}	(1) VisualC++
写出程序运行结果:_________#include <iostream.h>const float PI = 3.14;class Base{public:virtual void area() = 0;virtual void perimeter() = 0;};class Rectangle:public Base{public:Rectangle(float w,float h){width = w;height = h;}void area(){cout<<"矩形的长为:"<<width<<endl<<"宽为:"<<height<<endl<<"面积为:"<<width*height<<endl;}void perimeter(){cout<<"周长为:"<<2*(width+height)<<endl;}private:float width,height;};class Circle:public Base{public:Circle(float r){radius = r;}void area(){cout<<"圆形的半径为:"<<radius<<"面积为:"<<PI*radius*radius<<endl;}void perimeter(){cout<<"周长为:"<<2*PI*radius<<endl;}private:float radius;};int main(){Base * p;Rectangle obj1(2.5,3.7);Circle obj2(1.3);p = &obj1;p->area();p->perimeter(); p = &obj2;p->area();p->perimeter(); return 0;}	(1) 矩形的长为:2.5宽为:3.7面积为:9.25周长为:12.4圆形的半径为:1.3面积为:5.3066周长为:8.164
已知类sample 是一个抽象类，其成员函数 display 是无形参、无返回类型的纯虚函数，请完成其声明：class sample{public: sample(){};virtual void ______};	(1) display()=0
对赋值运算符进行重载时，应声明为_______________函数。	(1) 类成员
写出程序运行结果:_________#include<iostream>#include<fstream>using namespace std;class Animal{public:virtual void Speak()=0;};class Cat :public Animal{void Speak(){cout<<"My name is Cat"<<endl;}};class Leopard:public Animal{void Speak(){cout<<"My name is Leopard"<<endl;}};int main(){Animal *pa;Cat cat;pa=&cat;pa->Speak();Leopard leopard;pa=&leopard;pa->Speak();return 0;}	(1) My name is CatMy name is Leopard
有如下程序：#include<iostream>using namespace std;class Wages{     //"工资"类double base;  //基本工资double bonus; //奖金double tax;   //税金public:Wages(double CBase,double CBonus,double CTax):base(CBase),bonus(CBonus),tax(CTax){}double getPay()const;           //返回应付工资额Wages operator+(Wages w)const;  //重载加法};double Wages::getPay()const{return base+bonus-tax;}Wages Wages::operator+(Wages w)const{return Wages(base+w.base, bonus+w.bonus,tax+w.tax);}int main(){Wages w1(2000,500,100),w2(5000,1000,300);cout<<(w1+w2).getPay()<<endl;return 0;}程序的输出结果是______。	(1) 8100
写出下列程序的执行结果是：__________________。#include <iostream>using namespace std;const double n = 1.852;     // 定义海里与千米和米的转换系数(1海里=1.852千米)class nauticalmile_kilometer{public:nauticalmile_kilometer( int km,double m ){kilometer = km;  meter = m;}void print(){cout<<"kilometer="<<kilometer<<'\t'<<"meter="<<meter<<endl;}operator double();private:int kilometer;double meter;};nauticalmile_kilometer::operator double(){return ( meter / 1000 + double( kilometer )) / n;}void main(){nauticalmile_kilometer  obj( 100,50 );cout << "nauticalmile=" << double( obj ) << endl;}	(1) nauticalmile=54.0227
如下程序声明了一个电话号码类PhoneNumber，重载了流插入运算符<<，以便于电话号码的输出。请将程序补充完整。#include<iostream>#include<iomanip>#include<string>using namespace std;class PhoneNumber{public:void setNumber(string number){this->number=number;}//重载流插入操作符friend <span style="text-decoration: underline;">      </span>(ostream &output,const PhoneNumber &num){output<<num.number;return output;}private:string number;};int main(){PhoneNumber phone;phone.setNumber("8008100598");cout<<"The phone number is:"<<phone<<endl;return 0;}	(1) ostream& operator<<
写出下列程序的执行结果是：__________________。#include <iostream.h>#include<cstring>class s{public:s(){ *str= '\0'; }s( char *pstr ){strcpy( str,pstr );}char *gets(){return str;}friend s operator+( s obj1,s obj2 );private:char str[100];};s operator+( s obj1,s obj2 ){s tempobj;strcat( tempobj.str,obj1.str );strcat( tempobj.str,obj2.str );return tempobj;}void main(){s obj1( "Visual" ),obj2( "C#" ),obj3;obj3 = obj1 + obj2;cout << obj3.gets() << endl;}	(1) VisualC#
写出程序运行结果:_________using namespace std;class Vector{public:Vector(){ }Vector(int i,int j){x = i ;y = j ;}friend Vector operator+ ( Vector v1, Vector v2 ){Vector tempVector ;tempVector.x = v1.x + v2.x ;tempVector.y = v1.y + v2.y ;return  tempVector ;}void display(){cout << "( " << x << ", " << y << ") "<< endl ;}private:int x , y ;};int main(){Vector v1( 1, 2 ), v2( 3, 4 ), v3 ;cout << "v1 = " ;v1.display() ;cout << "v2 = " ;v2.display() ;v3 = v1 + v2 ;cout << "v3 = v1 + v2 = " ;v3.display() ;}	(1) v1 = ( 1, 2)v2 = ( 3, 4)v3 = v1 + v2 = ( 4, 6)
下面程序的运行结果如下：B：：display()C：：display()在下划线处填上缺少的部分。源程序如下：#include<iostream>using namespace std;class B{public:_________________  void display( )  {cout  <<  "B：：display( ) "<<endl;}};class C:public B{public:void display(){cout<<"C：：display()"<<endl;}};void fun(B*p){p->display();}void main(){B b,*pb;C c;pb=&b;fun(pb);pb=&c;fun(pb);}	(1) virtual
若将一个二元运算符重载为类的成员函数，其形参个数应该是______个。	(1) 1
定义虚函数所用的关键字是__________。	(1) virtual
有如下程序： #include  using namespace std; class A { public: A(){cout<<"A";} ~A(){cout<<"A";} }; class B { A a; public: B(){ cout<< "B";} ~B(){cout<<"B";} }; int main(){ B b; return 0; } 程序的输出结果是______。	(1) ABBA
类继承中，缺省的继承方式是______。	(1) 私有继承
请将如下程序补充完整，使得输出结果为：bbaa #include  using namespace std; class A{ public: ______{cout<<"aa"; } }; class B: public A { public: ~B(){cout<<"bb";} }; int main (){ B *p=new B; delete p; return 0; }	(1) ~A()
在保护派生中，基类权限为Private的成员在派生类中________________。	(1) 不可访问
基类中被说明为______的成员只能被其派生类的成员函数访问，不能被外界函数访问。	(1) protected
阅读下列程序,写出程序的运行结果____。#include <iostream>using namespace std;class Animal{public:void speak() { cout << "animal language!" << endl; }};class Cat :public Animal{public:void speak() { cout << "cat language: miaomiao!" << endl; }};int main(){Animal *p=new Cat;p->speak();}	(1) animal language!
有如下程序： #include  using namespace std; class PARENT { public: PARENT(){cout<<"PARENT";} }; class SON:public PARENT { public: SON(){cout<< "SON";} }; int main( ) { SON son; PARENT *p; p=&son; return 0; } 执行上面程序的输出是______。	(1) PARENTSON
下列程序的输出结果是______。 #include  using namespace std; class A{ int a; public: A():a(9){} virtual void print() const{cout<  print(); show(d1); show(d2); return 0; }	(1) 9SS9S
请将横线处缺失部分补充完整。 #include  using namespace std; class base { private:int x; public:base(int a){x=a;} int get(){return x;} void showbase() {cout<<"x="<	(1) b=d
在声明派生类时，如果不显式地给出继承方式，缺省的类继承方式是私有继承private。已知有如下类定义： classe Base{ protected: void fun(){} }; class Derived:Base{}; 则Base类中的成员函数fun()，在Derived类中的访问权限是______。（注意：要求填写private、protected或public中的一项）。	(1) private
请将下列类定义补充完整。 class Base{public:void fun(){cout<<"Base::fun"<	(1) Base::fun()
用来派生新类的类称为______，而派生出的新类称为它的子类或派生类。	(1) 基类 父类
有如下程序： #include  using namespace std; class Pet{ char name[10]; public: Pet(char *name){ strcpy(this->name,name);} const char *getName()const{return name;} virtual void call()const=0; }; class Dog: public Pet{ public: Dog(char *name):Pet(name){} void call()const{ cout<<"汪汪叫";} }; class Cat:public Pet{ public: Cat(char *name):Pet(name){} void call()const{ cout<<"喵喵叫";} }; int main(){ Pet *pet1=new Dog("哈克"), *pet2=new Cat("吉米"); cout<  getName();pet1->call();cout<	(1) 哈克汪汪叫
有如下程序： #include  using namespace std; class Base{ int b; public: Base(int i){b=i;} void disp(){cout<<"Base:b="<	(1) Base(j)
